ID;English;Dutch;Ducai;Comments
1;Otçoa;Otsjoa;Otçoa;surname
2;to be able to OR can;kunnen;dendar;-
3;Ducai;Dukaai;Ducai-aiver;-
4;language;taal;aive-a;-
5;render;weergeven;donovogefar;-
6;again;weer;donovo;-
7;to give;geven;gefar;-
8;island;eiland;yland;-
9;mathematics;wiskunde;agzam;-
10;to calculate;rekenen;akçar;-
11;calculator;rekenmachine;agzalmakina;-
12;dog;hond;uba;-
13;cat;kat;kata;-
14;He was able to speak;Hij heeft kunnen spreken;Yli aiver je dendaja;-
15;he;hij;yli;masculine 3rd subject
16;to know;weten;vejar;-
17;to know;kennen;konosar;-
18;He knows how to speak Ducai;Hij kan Dukaai;Yli Ducai-aiver veja;-
19;He knew how to speak Ducai;Hij kon Dukaai;Yli Ducai-aiver vejaja;-
20;Ducai;Dukaais;Ducai-o;masculine adjective
21;Ducai;Dukaaise;Ducai-a;feminine adjective
22;He rendered a dog;Hij heeft een hond weergegeven;Yli donovogefaja jea juba;-
23;to eat;eten;komar;-
24;to live;leven;vivar;-
25;to live;wonen;vonar;-
26;house;huis;fe¥tçi;-
27;in;in;eim;-
28;to be;zijn;koar;-
29;He is a dog;Hij is een hond;Yli juba koa;-
30;He is not a dog;Hij is geen hond;Yli nal uba koa;-
31;The dog is an island;De hond is een eiland;Jeajuba yland koa;-
32;she;zij;yla;feminine 3rd subject
33;him;hem;ylimi;masculine 3rd object
34;her;haar;ylama;feminine 3rd object
35;She knows him;Zij kent hem;Yla je ylimi konosa;-
36;He knows her;Hij kent haar;Yli je ylama konosa;-
37;to have;hebben;;-
38;;;;
39;;;;
40;;;;
41;;;;
42;;;;
43;;;;
44;;;;
45;;;;
46;;;;
47;;;;
48;;;;
49;;;;
50;;;;
51;;;;
52;;;;
53;;;;
54;;;;
55;;;;
56;;;;
57;;;;
58;;;;
59;;;;
60;;;;
61;;;;
62;;;;
63;;;;
64;;;;
65;;;;
66;;;;
67;;;;
68;;;;
69;;;;
70;;;;
71;;;;
72;;;;
73;;;;
74;;;;
75;;;;
76;;;;
77;;;;
78;;;;
79;;;;
80;;;;
81;;;;
82;;;;
83;;;;
84;;;;
85;;;;
86;;;;
87;;;;
88;;;;
89;;;;
90;;;;
91;;;;
92;;;;
93;;;;
94;;;;
95;;;;
96;;;;
97;;;;
98;;;;
99;;;;
100;;;;
101;;;;
102;;;;
103;;;;
104;;;;
105;;;;
106;;;;
107;;;;
108;;;;
109;;;;
110;;;;
111;;;;
112;;;;
113;;;;
114;;;;
115;;;;
116;;;;
117;;;;
118;;;;
